TITLE,FILE NAME,URL,TYPE OF RESOURCE,FORM,EXTENT,IMPRINT,ISSUANCE,LANGUAGE,MAP DATA,ASSOCIATED WITH,SUBJECT,GENRE,NOTE,RELATED ITEM,STATEMENT OF RESPONSIBILITY,OCLC,ALTERNATIVE TITLE,APPEARS IN,PUBLISHER,LOCATION,LCCN,ADDITIONAL PHYSICAL FORM,MANUFACTURER,ONLINE VERSION,UNIFORM TITLE,CARTOGRAPHER,LITHOGRAPHER,CONTAINS,LOCAL NOTE,ISSUING BODY,REPRODUCTION,DISTRIBUTOR
Germany : textile and apparel industries,dg515xm6734,https://purl.stanford.edu/dg515xm6734,Cartographic;,map;,1 map : col. ; 23 x 27 cm.;,"Provisional ed. - [Washington, D.C.] : R & A, OSS, 1944;",monographic;,English;,"Scale [ca. 1:4,300,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Textile industry > Germany > Maps;Germany > Maps;,Map;,"""No. 3882-R & A, OSS, 12 August 1944."";""From: Reichsamt für Wehrwirtschaftliche Planung 'die deutsche Industrie; Gersamtergebnisse der amtlichen Produktions Statistik,' Berlin, 1939."";",,,,,,,,,,,,,,,,,,,
"Germany, West of the Rhine",fr517mm1004,https://purl.stanford.edu/fr517mm1004,Cartographic;,map;unmediated;sheet;,maps : color ; 34 x 24 cm;,"[Washington, D.C.] : [Department of State], 1944;",monographic;,English;,"Scale approximately 1:900,000.;","United States, Department of State., Division of Geography and Cartography.;",Military occupation > Maps;Military occupation;Germany > Maps;,Map;Government publication;Cartographic image;Maps.;,"Upper right margin: ""West Rhine Series"".;""Restricted"";""September 8, 1944."";",,"compiled and drawn in the Department of State, Division of Geography and Cartography.;",,,,,,,,,,,,,,,,,
"Germany, West of the Rhine",ny817nc7029,https://purl.stanford.edu/ny817nc7029,Cartographic;,map;unmediated;sheet;,maps : color ; 34 x 24 cm;,"[Washington, D.C.] : [Department of State], 1944;",monographic;,English;,"Scale approximately 1:900,000.;","United States, Department of State., Division of Geography and Cartography.;",Military occupation > Maps;Military occupation;Germany > Maps;,Map;Government publication;Cartographic image;Maps.;,"Upper right margin: ""West Rhine Series"".;""Restricted"";""September 8, 1944."";",,"compiled and drawn in the Department of State, Division of Geography and Cartography.;",,,,,,,,,,,,,,,,,
"Germany, West of the Rhine",fv349vx9496,https://purl.stanford.edu/fv349vx9496,Cartographic;,map;unmediated;sheet;,maps : color ; 34 x 24 cm;,"[Washington, D.C.] : [Department of State], 1944;",monographic;,English;,"Scale approximately 1:900,000.;","United States, Department of State., Division of Geography and Cartography.;",Military occupation > Maps;Military occupation;Germany > Maps;,Map;Government publication;Cartographic image;Maps.;,"Upper right margin: ""West Rhine Series"".;""Restricted"";""September 8, 1944."";",,"compiled and drawn in the Department of State, Division of Geography and Cartography.;",,,,,,,,,,,,,,,,,
"Germany, West of the Rhine",wn050jz2613,https://purl.stanford.edu/wn050jz2613,Cartographic;,map;unmediated;sheet;,maps : color ; 34 x 24 cm;,"[Washington, D.C.] : [Department of State], 1944;",monographic;,English;,"Scale approximately 1:900,000.;","United States, Department of State., Division of Geography and Cartography.;",Military occupation > Maps;Military occupation;Germany > Maps;,Map;Government publication;Cartographic image;Maps.;,"Upper right margin: ""West Rhine Series"".;""Restricted"";""September 8, 1944."";",,"compiled and drawn in the Department of State, Division of Geography and Cartography.;",,,,,,,,,,,,,,,,,
"Germany, West of the Rhine",rv279ry6520,https://purl.stanford.edu/rv279ry6520,Cartographic;,map;unmediated;sheet;,maps : color ; 34 x 24 cm;,"[Washington, D.C.] : [Department of State], 1944;",monographic;,English;,"Scale approximately 1:900,000.;","United States, Department of State., Division of Geography and Cartography.;",Military occupation > Maps;Military occupation;Germany > Maps;,Map;Government publication;Cartographic image;Maps.;,"Upper right margin: ""West Rhine Series"".;""Restricted"";""September 8, 1944."";",,"compiled and drawn in the Department of State, Division of Geography and Cartography.;",,,,,,,,,,,,,,,,,
Greater China,zf519ps5806,https://purl.stanford.edu/zf519ps5806,Cartographic;,map;unmediated;sheet;,1 map ; 43 x 54 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:9,500,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",China > Maps;China;,Map;Government publication;Cartographic image;Maps;Maps;,"""3 August 1944"".;""Free"".;Includes inset ""Areal [sic] comparison of greater China with the United States"".;""No. 3448"".;LC copy mounted on cloth and laminated.;LC copy stamped on: 44B.;",,"R & A, OSS.;",,,,,,2006635516;,,,,,,,,,,,
"Greater Germany, major administrative divisions, 1 July, 1944",fd385mm9447,https://purl.stanford.edu/fd385mm9447,Cartographic;,map;,1 map : col. ; 60 x 74 cm.;,"Provisional ed. - [Washington, D.C.] : R & A, OSS, 1944;",monographic;,English;,"Scale [ca. 1:2,150,000] ; (E 4⁰--E 28⁰/N 55⁰--N 44⁰).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;","Europe, Central > Administrative and political divisions > Maps;Germany > Administrative and political divisions > Maps;",Map;,"Indexed for administrative units.;""No. 5408 -- R & A, OSS, 6 December 1944."";""FREE""--Upper right border and center lower border.;Includes location map, ""Reliability of data"" table, and notes.;",,"lithographed in the Reproduction Branch, OSS.;",,,,,,,,,,,,,,,,,
Greece and the Aegean,sm812gv9725,https://purl.stanford.edu/sm812gv9725,Cartographic;,,1 map ; 50 x 56 cm.;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:1,500,000];","United States, Office of Strategic Services., Research and Analysis Branch.;","Greece > Maps, Outline and base;",Map;,"Shows drainage, major cities and major railroads.;""No. 3354."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Greece : railroads and railroad facilities,jm057qw0671,https://purl.stanford.edu/jm057qw0671,Cartographic;,,1 map.;,"Provisional ed. - [Washington, DC] : R & A, OSS, 1944;",monographic;,English;,"Scale [ca. 1:1,647,360];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,Map No. 5505.;,,,,,,,,,,,,,,,,,,,
Greece : roads and ports,sc998rm8736,https://purl.stanford.edu/sc998rm8736,Cartographic;,,1 map.;,"Provisional ed. - [Washington, DC] : R & A, OSS, 1944;",monographic;,English;,"Scale [ca. 1:1,647,360];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,Map No. 5508.;,,,,,,,,,,,,,,,,,,,
"Hessen, power districts (energiebezirke, based on wehrkreise)",tr037rc9902,https://purl.stanford.edu/tr037rc9902,Cartographic;,map;unmediated;sheet;,2 maps on 1 sheet : photocopy ; on sheet 32 x 21 cm;,"Provisional ed. - [Washington, D.C.] : OSS, 1944;",monographic;,English;,Scale not given.;,"United States, Office of Strategic Services., Research and Analysis Branch.;",Power resources > Germany > Hesse > Maps;Power resources;Hesse (Germany) > Maps;Germany > Hesse;,Map;Cartographic image-cri;Thematic maps.;Maps.;Thematic maps.;,"Black line print.;""No. 3559."";""14 October 1944."";""Free."";""414""--Appears to be page number at top of sheet.;",,"R & A, OSS.;",,"Hessen, districts of the electricity supply business group (bezirke der wirtschaftgruppe elektrizitatsversorgung);",,,,,,,,,,,,,,,
"Hessen, public supply system",xg793bm0916,https://purl.stanford.edu/xg793bm0916,Cartographic;,map;unmediated;sheet;,1 map ; on sheet 32 x 21 cm;,"Provisional edition. - District of Columbia, 1944;",monographic;,English;,Scale not given.;,"United States, Office of Strategic Services., Research and Analysis Branch.;",Electric power distribution > Germany > Hesse > Maps;Hesse (Germany) > Maps;,Map;Cartographic image-cri;Outline maps.;Thematic maps.;,"Includes index to supply system districts.;""No. 3561."";""14 October 1944."";""Free."";""406""- [Page number];",,"R & A, OSS.;",,,,"[Washington, D.C.] : OSS, 1944.;",,,,,,,,,,,,,
The High Commission territories of Southern Africa,wr419ht3139,https://purl.stanford.edu/wr419ht3139,Cartographic;,map;unmediated;sheet;,1 map ; 22 x 17 cm;,"Prov. ed. - [Washington, D.C.] : OSS, 1944;",monographic;,English;,"Scale [ca. 1:10,140,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;","British territories and possessions;Africa, Southern > Maps;Great Britain > Territories and possessions > Maps;Africa, Southern;",Map;Cartographic image-cri;Maps.;,"""Base: National Geographic map."";Ancillary map: Area of map.;""No. 3569-R & A, OSS 30 November 1944."";",,,18054498;,,,,,,,,,,,,,,,,
Hokkaidō agriculture and fishing,db438gj7162,https://purl.stanford.edu/db438gj7162,Cartographic;,cartographic material;map;unmediated;sheet;,1 map : color ; 31 x 32 cm;,"25 Aug. 1944. - [Washington] : [Office of Strategic Services], 1944;",monographic;,English;,"Scale [ca. 1:1,800,000].;","United States, Office of Strategic Services.;",Agriculture > Japan > Hokkaido > Maps;Fisheries > Japan > Hokkaido > Maps;Agriculture;Fisheries;Japan > Hokkaido;,Map;Cartographic image-cri;Maps;,"Relief shown by shading.;""Provisional edition."";""No. 5252--R & A, OSS."";",,,,,,,,,,,,,,,,,,,
Hokkaidō-chō : administrative divisions,tw014kx2872,https://purl.stanford.edu/tw014kx2872,Cartographic;,map;unmediated;sheet;,1 map : color ; 30 x 31 cm;,"District of Columbia, 1944;",monographic;,English;,"Scale approximately 1:1,870,000 ; (E 139°--E 146°/N 46°--N 41°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Administrative and political divisions;Hokkaido (Japan) > Administrative and political divisions > Maps;Hokkaido (Japan) > Maps;Japan > Hokkaido;,Map;Cartographic image-cri;Maps.;Maps.;,"Includes reliability table and glossary.;""16 September 1944."";""No. 5281."";",,"R & A, OSS.;",881181848;,,,"[Washington, D.C.] : OSS, [1944];",,,,"[Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, A.D.;",,,,,,,,,
Hong Kong-Kowloon area : map no. I,my747fb9077,https://purl.stanford.edu/my747fb9077,Cartographic;,,1 map;,"Provisional ed. - District of Columbia, [1944];",monographic;,English;,"Scale [ca. 1:34,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"""No. 3545."";Shows locations and names of shipyards.;",,,,,,,,,,,,,,,,,,,
Hong Kong-Kowloon area : map no. III,jx481tm2612,https://purl.stanford.edu/jx481tm2612,Cartographic;,,1 map;,"Provisional ed. - District of Columbia, [1944];",monographic;,English;,"Scale [ca. 1:34,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"""No. 3547."";Shows locations of radio and wireless stations;",,,,,,,,,,,,,,,,,,,
Hungary,fb801rv4295,https://purl.stanford.edu/fb801rv4295,Cartographic;,map;unmediated;sheet;,1 map : color ; 23 x 35 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:1,900,800] ; (E 16°07ʹ--E 22°54ʹ/N 48°35ʹ--N 45°44ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Railroads > Hungary > Maps;Transportation > Hungary > Maps;Railroads;Transportation;Hungary > Maps;Hungary;,Map;Cartographic image-cri;Maps.;,"""20 May 1944."";""NO. 3257."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Italian provinces annexed by Germany : (including Yugoslav territory incorporated in Adriatisches Küstenland),dq687zy0811,https://purl.stanford.edu/dq687zy0811,Cartographic;,map;unmediated;sheet;,1 map ; 18 x 24 cm;,"Provisional ed. - [Washington, D.C.] : OSS, 1944;",monographic;,English;,"Scale [ca. 1:2,400,000] ; (E 9°--E 16°/N 48°--N 44°).;","United States, Office of Strategic Services., Research and Analysis Branch.;","World War, 1939-1945 > Territorial questions > Italy > Maps;Italy > Boundaries > Yugoslavia > Maps;Italy > Boundaries > Austria > Maps;",Map;Cartographic image-cri;,"Dated: 7 July 1944.;Shows areas subject to the Gauleiter of Kärnten (Adriatisches Küstenland)--and the Gauleiter of Tyrol-Voralberg (Alpenvorland), and international and province boundaries.;""No. 3852."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",12055609;,,,,,,,,,,,,,,,,
Italy : ecclesiastical provinces of the Roman Catholic Church,zn911nj9055,https://purl.stanford.edu/zn911nj9055,Cartographic;,map;unmediated;sheet;,1 map ; 34 x 29 cm;,"Provisional ed. 1st revision. - [Washington, D.C.] : Reproduction Branch, OSS, [1944];",monographic;,English;,"Scale [ca. 1:3,500,000] ; (E 6°--E 19°/N 47°--N 36°).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Catholic Church > Italy > Maps;Catholic Church.;Ecclesiastical geography > Italy > Maps;Ecclesiastical geography;Italy;,Map;Cartographic image-cri;Thematic maps.;Maps.;Thematic maps.;,"""Revised 9 February 1944."";""No. 1975."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",36628371;,,,,,,,,,,,,,,,,
"Izu, Bonin and Volcano Islands : Strategic location",hh655mx4210,https://purl.stanford.edu/hh655mx4210,Cartographic;,map;unmediated;sheet;,1 map : color ; sheet 43 x 27 cm.;,"[Washington D.C.] : Department of State, Division of Geography and Cartography, 1944;",monographic;,English;,"Scale 1:12,038,400 ; (E 126°49'00""--E 155°23'00""/N 37°27'00""--N 12°51'00"").;","United States, Department of State., Division of Geography and Cartography.;","World War, 1939-1945 > East Asia > Japan > Maps > Nineteen forties;East Asia > Maps > Nineteen forties;Japan > Maps > Nineteen forties;North Pacific Ocean > Maps > Nineteen forties;Izu Islands (Japan) > Maps > Nineteen forties;Bonin Islands (Japan) > Maps > Nineteen forties;Volcano Islands (Japan) > Maps > Nineteen forties;",Map;Government publication;Cartographic image;Maps;,"Legend of airfields, naval bases, seaplane anchorages.;10 inset maps.;""1341 E."";","Department of State publication. Far East Series, Map 27;Department of State publication. Map 27 Far East Series;",,,,,,,,,,,,,,,,,,
"Japan, acreage of rice by prefectures, 1939. Japan, acreage of wheat by prefectures, 1939",xy365gd7280,https://purl.stanford.edu/xy365gd7280,Cartographic;,map;unmediated;sheet;,"2 maps on 1 sheet ; both 14 x 13 cm, on sheet 34 x 20 cm;","[Washington, D.C.?] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:13,700,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Rice > Japan > Maps;Wheat > Japan > Maps;Rice;Wheat;Japan;,Map;Cartographic image-cri;Maps.;,"""31 September 1944."";""No. A-5411 - R & A, OSS."";""From Office of Agricultural Relations U.S. Department of Agriculture."";",,"R & A, OSS.;",,"Japan, acreage of wheat by prefectures, 1939;",,,,,,,,,,,"Japan, acreage of wheat by prefectures, 1939;",,,,
Japan : public utility gas installations (1938),sz597sv6828,https://purl.stanford.edu/sz597sv6828,Cartographic;,cartographic material;map;,1 map : col. ; 47 x 35 cm;,"11 Dec. 1944. - [Washington : Office of Strategic Services], 1944;",monographic;,English;,"Scale [ca. 1:3,400,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Gas companies > Japan > Maps;Public utilities > Japan > Maps;Japan > Maps;,Map;,"""Provisional edition."";""No. 5596--R & A, OSS."";Includes inset of Hokkaido.;",,,,,,,,,,,,,,,,,,,
"Japan, radiotelephone and radiotelegraph stations : 1941",pp234mp0165,https://purl.stanford.edu/pp234mp0165,Cartographic;,cartographic material;map;,1 map : col. ; 45 x 44 cm;,"7 Dec. 1944. - [Washington : Office of Strategic Services], 1944;",monographic;,English;,"Scale [ca. 1:2,950,000].;","United States, Office of Strategic Services.;",Telephone > Japan > Maps;Telegraph > Japan > Maps;Radio stations > Japan > Maps;,Map;,"""Provisional edition."";""No. 5503--R & A, OSS."";Includes inset of Hokkaido.;",,,,,,,,,,,,,,,,,,,
"Japan, spring areas",gp763ck4840,https://purl.stanford.edu/gp763ck4840,Cartographic;,cartographic material;map;,1 map in 2 sections : col. ; on sheet 50 x 40 cm;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:3,400,000] ; (E 129°--E 146°/N 46°--N 30°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Springs > Japan > Maps;Health resorts > Japan > Maps;Health resorts;Springs;Japan;,Map;Maps;,"""13 December 1944."";Shows principal cold spring and hot spring areas, principal spas, prefectures, major cities.;Northern section titled ""Hokkaidō."";""No. 5571--R & A, OSS."";",,,,,,,,,,,,,,,,,,,
The Japanese Empire: territorial changes,sb039jm4876,https://purl.stanford.edu/sb039jm4876,Cartographic;,map;unmediated;sheet;,1 map : color ; sheet 26.5 x 43 cm.;,"[Washington D.C.] : Department of State, Division of Geography and Cartography, 1944;",monographic;,English;,"Scale 1:25,344,000 ; (E 108°16'00""--W 179°57'00""/N 55°06'00""--N 2°02'00"").;","United States, Department of State., Division of Geography and Cartography.;","World War, 1939-1945 > East Asia > Japan > Maps > Nineteen forties;Ethnology > East Asia > Japan > Maps > Nineteen forties;Sovereignty > East Asia > Japan > Maps > Nineteen forties;East Asia > Maps > Nineteen forties;Japan > Maps > Nineteen forties;",Map;Government publication;Cartographic image;Maps;,"Legend.;Table of ethnic populations, by country.;""1270 E."";","Department of State publication. Far East Series, Map 24;Department of State publication. Map 24 Far East Series;",,,,,,,,,,,,,,,,,,
"Kamchatka, administrative divisions, towns and villages",hp793jz9698,https://purl.stanford.edu/hp793jz9698,Cartographic;,map;unmediated;sheet;,1 map : color ; 30 x 20 cm;,"Provisional ed. - [Washington] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:4,600,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Administrative and political divisions;Kamchatka Peninsula (Russia) > Maps;Kamchatka Peninsula (Russia) > Administrative and political divisions > Maps;Russia (Federation) > Kamchatka Peninsula;,Map;Government publication;Cartographic image;Maps.;,"""No. 5518."";""30 November 1944."";Includes glossary and reliability of data table.;",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
"Kamchatka, transportation and communication",dh885gt0201,https://purl.stanford.edu/dh885gt0201,Cartographic;,map;unmediated;sheet;,"1 map : color ; 30 x 20 cm, on sheet 34 x 26 cm;","Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [1:4,600,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Transportation > Russia (Federation) > Kamchatka Peninsula > Maps;Communication > Russia (Federation) > Kamchatka Peninsula > Maps;Communication;Transportation;Kamchatka Peninsula (Russia) > Transportation > Maps;Kamchatka Peninsula (Russia) > Communication > Maps;Russia (Federation) > Kamchatka Peninsula;,Map;Cartographic image-cri;Thematic maps.;Maps.;Thematic maps.;,"Relief shown by shading.;Includes glossary and reliability of data table.;""No. 5519."";""30 November 1944."";""Restricted."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Kantō area : highways and waterways,gd204cf5107,https://purl.stanford.edu/gd204cf5107,Cartographic;,cartographic material;map;,1 map : col. ; 63 x 48 cm.;,"Rev. 11 Nov. 1944. - [Washington : Reproduction Branch, Office of Strategic Services], 1944;",monographic;,English;,"Scale [ca. 1:380,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Canals > Japan > Kantō Region > Maps;Kantō Region (Japan) > Maps;,Map;,"Includes reliability table and inset showing ""Waterways of the Tōkyō area."";""Provisional edition, first revision."";""No. 3997--R & A, OSS."";",,,,,,,,,,,,,,,,,,,
Kanto Plain administrative divisions,zq669cd0695,https://purl.stanford.edu/zq669cd0695,Cartographic;,map;unmediated;sheet;,1 map ; 28 x 28 cm;,"[Washington?] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:1,000,000] ; (E 139°00ʹ--E 142°00ʹ/N 37°00ʹ--N 35°30ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Administrative and political divisions;Kantō Region (Japan) > Administrative and political divisions > Maps;Japan > Kantō Region;,Map;Cartographic image-cri;Maps.;,"""No. 5286 - R & A, OSS."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
"Korea: Japanese in cities over 10,000 : (fu 1939, yu 1937)",xw675bv9884,https://purl.stanford.edu/xw675bv9884,Cartographic;,,1 map : col. ; 31 x 24 cm.;,"[Washington, D.C.?] :$bDept. of State, Division of Geography and Cartography, 1944;",monographic;,English;,"Scale [ca. 1:3,600,000];","United States, Department of State., Division of Geography and Cartography;",Japanese > Korea > Maps;,Map;,"Inset map: Total Japanese in Korea, by provinces, December 31, 1941.;""Provisional."";""1475 D."";",Far East series ; map 29;,,,,,,,,,,,,,,,,,,
"Kusaie Island : from photos taken Oct. 22, 1943",sf131hz4116,https://purl.stanford.edu/sf131hz4116,Cartographic;,cartographic material;map;,1 map : col. ; 29 x 29 cm;,"[Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, [1944];",monographic;,English;,"Scale [ca. 1:60,000] ; (E 162°53ʹ--E 163°03ʹ/N 5°24ʹ--N 5°14ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Navy., Joint Intelligence Center, Pacific Ocean Areas.;United States, Office of Strategic Services., Reproduction Branch.;",Kosrae (Micronesia) > Maps;Micronesia (Federated States) > Kosrae;,Map;Maps;,"Relief shown by spot heights.;""No. A-3138 ... 1 March 1944."";""J.I.C.P.O.A. December 1943."";",,"RA, OSS.;",,,,,,,,,,,,,,,,,
Kyushu,cn998mk6467,https://purl.stanford.edu/cn998mk6467,Cartographic;,,1 map : col. ; 62 x 50 cm.;,"7 Aug. 1944. - [Washington : Office of Strategic Services], 1944;",monographic;,English;,"Scale [ca. 1:740,000].;","United States, Office of Strategic Services.;",Transportation > Japan > Kyūshū Region > Maps;Kyūshū Region (Japan) > Maps;,Map;,"Relief shown by shading.;""Provisional edition."";Three classes of road and two classes of railroad are shown.;""No. 3951--R & A, OSS."";",,,,,,,,,,,,,,,,,,,
Libya,xy169np6998,https://purl.stanford.edu/xy169np6998,Cartographic;,map;unmediated;sheet;,"1 map ; 12 x 17 cm, on sheet 27 x 21 cm;","[Washington, D.C.] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:17,000,000] ; (E 6°--E 30°/N 35°--N 18°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",1940;Maps;Libya > Maps;Libya > Maps > 1940;Libya;,Map;Cartographic image-cri;Maps.;,"From: Royal Institute of International Affairs, ""Italian Colonial Empire,"" (published in London in 1940).;""No. A-3567-R & A, OSS, 13 November 1944."";",,,82192404;,,,,electronic resource;,,,,,,,,,,,,
"Location of the paper industry in Germany, 1925",tn523xr8171,https://purl.stanford.edu/tn523xr8171,Cartographic;,map;,1 map ; 15 x 19 cm.;,"[Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1944;",monographic;,English;,Scale not given.;,"United States, Office of Strategic Services., Research and Analysis Branch.;",Germany > Manufactures > Maps;,Map;,"""No. A-3876-R&A, OSS."";",,,,,,,,,,,,,,,,,,,
Magdeburg main water distribution system,tp515xw9696,https://purl.stanford.edu/tp515xw9696,Cartographic;,map;unmediated;sheet;,1 map ; 14 x 19 cm;,"[Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:117,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Water > Distribution > Maps;Water-supply > Germany > Magdeburg > Maps;Water > Distribution;Water-supply;Magdeburg (Germany) > Maps;Germany > Magdeburg;,Map;Government publication;Cartographic image;Maps;,"Oriented with north toward upper right.;""From: Der Gas-und Waserfach, Vol. 76, 1933."";""No. A-3283-RA, OSS, 14 April 1944."";",,,,,,,,,,,,,,,,,,,
Magdeburg water supply system,wx609gh1955,https://purl.stanford.edu/wx609gh1955,Cartographic;,map;unmediated;sheet;,1 map ; 20 x 14 cm;,"[Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:195,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Water-supply > Germany > Magdeburg > Maps;Water-supply;Magdeburg (Germany) > Maps;Germany > Magdeburg;,Map;Government publication;Cartographic image;Maps;,"""From: Der Gas-und Wasserfach, Vol. 76, 1933."";""No. A-3282-RA, OSS, 14 April 1944."";",,,,,,,,,,,,,,,,,,,
Malakal harbor area,rw574fg6017,https://purl.stanford.edu/rw574fg6017,Cartographic;,map;unmediated;sheet;,1 map : color ; 19 x 25 cm;,"Provisional ed. - [Washington] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:47,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Harbors > Palau > Maps;Harbors;Malakal Island (Palau) > Maps;Palau;Palau > Malakal Island;,Map;Cartographic image-cri;Maps.;,"Relief shown by spot heights.;""No. 3171 ... 10 March 1944."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Malaya : terrain and transportation,sd588hs9393,https://purl.stanford.edu/sd588hs9393,Cartographic;,cartographic material;map;unmediated;sheet;,1 map : color ; 53 x 47 cm;,"Provisional ed. - [Washington] : Reproduction Branch, OSS, 1944;",monographic;,English;,"Scale [ca. 1:1,400,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Transportation > Malaysia > Malaya > Maps;Railroads > Malaysia > Malaya > Maps;Roads > Malaysia > Malaya > Maps;Railroads;Roads;Transportation;Malaya > Maps;Malaya;,Map;Cartographic image-cri;Maps;,"Relief shown by shading.;Includes ancillary map: ""Kuala Lumpur and environs."";""No. 3151, 31 March 1944."";Index to vulnerable bridges and tunnels on verso.;",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Manchuria : roads and railways,bw736bd0152,https://purl.stanford.edu/bw736bd0152,Cartographic;,,,"District of Columbia, 1944;",monographic;,English;,"Scale [ca. 1:3,168,000];","United States, Office of Strategic Services.;",,Map;,"Board of Economic Warfare, Enemy Branch Project no.E.P. 95;""Map no. 2009, April 15 1943."";",,,,,,,,,,,,,,,,,,,
Marseille : Annex ports,qt141jv1316,https://purl.stanford.edu/qt141jv1316,Cartographic;,map;,1 map ; 9 1/2 x 18 in.;,"""Provisional edition."" - [Washington, D.C.], 1944;",monographic;,English;,,"United States, Office of Strategic Services.;",Harbors > France > Marseille > Maps;,Map;,Scales vary.;,No. 3147;,,,,,,,,,,,,,,,,,,
Mean monthly precipitation (mm) : January,mh455mn2410,https://purl.stanford.edu/mh455mn2410,Cartographic;,map;unmediated;sheet;,1 map : color ; 24 x 28 cm;,"Provisional ed. - [Washington, D.C.] : OSS, 1944;",monographic;,English;,"Scale [ca. 1:4,500,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Precipitation (Meteorology) > Germany > Maps;Climatology;Precipitation (Meteorology);Germany > Climate > Maps;Germany;,Map;Cartographic image-cri;Maps.;,"""No. A-3044."";Dated: 25 Feb. 1944.;Facsimile of ed. published as: Veröffentlichungen des Preuss. Meteol. Instituts nr. 312.;",,,,,,,,,,,,,,,,,,,
